TIME_GRP,B_NAME,LENGTH_RH_BOW_MM,LENGTH_RH_P_MM,LENGTH_RH_S_MM,TWA_SGP_DEG,TWS_MHU_TM_KM_H_1,BDE_BOAT_RACE_STATUS_UNK,HEADING_DEG,DB_STOW_STATE_P_UNK,DB_STOW_STATE_S_UNK,ANGLE_PILOT_P_R_DEG,ANGLE_DB_CANT_P_DEG,ANGLE_RUDDER_OFFSET_DEG,ANGLE_RUDDER_DEG,ANGLE_FLAP_4_TWIST_DEG,ANGLE_FLAP_1_TWIST_DEG,ANGLE_CA1_DEG,ANGLE_JORAL_P_L_DEG,ANGLE_CA5_DEG,ANGLE_CA6_DEG,ANGLE_FLAP_2_TWIST_DEG,ANGLE_RUD_RAKE_P_DEG,ANGLE_DB_RAKE_P_TARG_DEG,ANGLE_DB_CANT_S_DEG,ANGLE_RUD_AVG_DEG,ANGLE_RUD_DIFF_TACK_DEG,ANGLE_CA1_TARG_DEG,ANGLE_RUD_DIFF_DEG,ANGLE_CA4_TARG_DEG,ANGLE_FLAP_3_TWIST_DEG,ANGLE_JORAL_S_R_DEG,ANGLE_DB_RAKE_S_DEG,ANGLE_CA5_TARG_DEG,ANGLE_DB_RAKE_S_TARG_DEG,ANGLE_WING_TWIST_ABS_DEG,ANGLE_CA2_DEG,ANGLE_WING_TWIST_DEG,ANGLE_RUD_RAKE_P_TARG_DEG,ANGLE_CA6_TARG_DEG,ANGLE_DB_RAKE_LIM_DEG,ANGLE_CA4_DEG,ANGLE_JORAL_S_L_DEG,ANGLE_PILOT_P_L_DEG,ANGLE_PILOT_S_R_DEG,ANGLE_RUD_RAKE_S_TARG_DEG,ANGLE_FLAP_5_TWIST_DEG,ANGLE_JORAL_P_R_DEG,ANGLE_DB_RAKE_S_AOA_DEG,ANGLE_CA2_TARG_DEG,ANGLE_WING_ROT_DEG,ANGLE_PILOT_S_L_DEG,ANGLE_DB_RAKE_P_DEG,ANGLE_RUD_RAKE_S_DEG,ANGLE_DB_RAKE_P_AOA_DEG,ANGLE_CA3_TARG_DEG,ANGLE_CA3_DEG,PK,TIME_SAILED,BOAT_SPEED_KNOTS,FOILING,TIME_FOILING,MANEUVER,MANEUVER_ID,TIME_IN_MANEUVER,LATITUDE,LONGITUDE,BDE_LEG_NUM_UNK
607,USA,0.454440624,-0.529363096,-0.442812741,137.9161906,1.132743323,2,170.7461505,5,1,18.41337379,-9.959743428,68.87200076,47.68978439,10.14917872,9.861463836,-20.13929259,126.4326482,-0.128648854,0.133456067,0,6.175036998,7.799630362,6.259879046,2.526764664,7.296544241,-20.13929259,7.296544241,-10.2778279,0,9.382471207,2.970802092,-0.128648854,2.999949711,20.27274936,0,20.27274936,6.331195186,0.133456067,-7.797869881,-10.2778279,3.933166995,350.3375053,22.45640524,-1.03566009,0.262104908,229.1344461,5.771754882,0,5.813500998,100.4166079,7.846817578,-1.12150767,10.64777058,0,0,607-USA,1,0.620665304,Yes,1,Y,USA-13,-14,32.2886167,-64.8410064,3
340,DEN,0.96194005,0.959284306,0.92958653,56.69135217,47.73957825,2,129.9688147,5,1,298.0857112,-10.16446298,68.87200076,66.19611706,3.424014812,3.176773277,-20.30265535,301.3377282,-13.71174819,-10.07862116,0,6.257002683,2.301086036,6.528603875,2.585177722,7.343649495,-20.03972551,7.343649495,-17.44361671,0,90.04535496,7.015671495,-14.83051098,6.999882659,10.22403504,0,10.22403504,6.328027686,-11.7566202,-0.815787923,-17.12588143,54.580933,358.2917251,280.7270587,-1.071673756,3.623246308,291.5597387,5.553893618,0,18.70124066,38.89221045,2.328547452,-1.086647132,0.868571998,0,0,340-DEN,1,31.693529,Yes,1,N,X,0,32.283328,-64.8422644,3
623,FRA,1.06548202,0.895679712,-0.860285044,61.89231241,38.12968597,2,119.260007,5,7,314.3457415,-10.48164245,68.87200076,65.34819005,9.396147807,9.331762175,-22.12181988,319.9488462,-3.414598969,6.747430329,0,6.124490183,2.400617473,-8.479965869,2.408206027,7.432568312,-21.99956633,7.432568312,-12.56766504,0,225.706661,4.992590807,-3.228078243,4.999916185,28.86924936,0,28.89955149,6.210956963,6.717801822,-2.169618341,-12.81074635,215.2475104,354.0729085,4.086978159,-1.288917421,10.17164151,231.9909269,4.664970538,0,21.77774227,321.069489,2.429660078,-1.308078023,2.107468956,0,0,623-FRA,1,26.54795326,Yes,1,Y,FRA-10,4,32.2879024,-64.8506265,5
360,DEN,0.820514679,0.722984552,0.818561256,57.00852908,42.93033714,2,119.8919907,5,2,297.9538886,-10.16886931,68.87200076,66.05952694,3.04979451,2.995324392,-20.26179886,301.38166,-14.20646819,-11.01108542,0,6.258363598,3.154123942,2.208312216,2.579031406,7.358663958,-20.03972551,7.358663958,-17.11058864,0,90.0893004,2.474009136,-14.16227601,-1.197085955,9.250713443,0,9.24050231,6.328027686,-10.69406902,-1.186086042,-17.25626291,54.51501143,358.3796433,280.6830996,-1.071673756,3.195382981,291.5597387,1.218966679,0,23.63356102,179.4754601,2.844062809,-1.10030068,1.662878389,0,0,360-DEN,1,28.89969088,Yes,1,Y,DEN-5,-8,32.281792,-64.8395367,3
628,DEN,0.928400159,0.850410104,0.964078605,58.17114339,48.95493736,2,126.9408689,5,1,233.3093173,-10.16857561,68.87200076,66.06057878,3.176745529,3.895867759,-20.24137147,15.82056056,-13.15889731,-9.671529082,0,6.214788272,2.964167417,6.530068523,2.48624542,7.457085276,-20.03971868,7.457085276,-16.7563238,0,0.769055021,7.017472103,-13.45143688,6.999882659,10.56984239,0,10.56984239,6.26810174,-9.563776017,-0.778671341,-16.34550329,53.76793217,222.3228077,69.08311508,-1.23177275,3.497229104,293.9328196,5.535496931,0,23.15100986,233.2214264,3.003925521,-1.242297325,1.486026008,0,0,628-DEN,1,32.06904118,Yes,1,N,X,0,32.2891175,-64.846413,5
642,FRA,0.762748063,0.842002034,-0.860962808,46.05532012,44.50854034,2,129.6048339,5,1,314.3896733,-10.31348576,68.87200076,66.91901745,7.734518169,8.121148711,-20.08827449,319.9049145,-4.242236897,4.051938862,0,6.227321242,2.37762663,6.381071789,2.458261708,7.538119494,-19.99958448,7.538119494,-12.30793941,0,147.175154,5.014347521,-4.691574552,4.999916185,24.1402125,0,24.1402125,6.210956963,3.419217885,-0.8871253,-11.96712663,215.3573672,132.4092959,3.999086004,-1.288917421,8.284547326,232.0129201,3.616183892,0,11.35807098,8.789200122,2.447702449,-1.310797932,1.040509524,0,0,642-FRA,1,31.32467195,Yes,1,N,X,0,32.2864415,-64.8478417,5
372,AUS,1.037558317,1.110695004,1.074267268,-144.861004,30.3046669,2,312.9337502,1,5,155.4370055,6.334871108,68.87200076,67.89302975,0.106861231,0.410679611,20.86579078,242.7796751,21.37308601,21.78674105,0,-0.080581031,6.999882659,-10.44998965,1.973572702,4.108307132,21.39966398,-4.108307132,21.39966398,0,119.7967916,2.098604864,21.39966398,2.149313256,0.920949731,0,0.910634971,-0.047106341,21.39966398,-0.384155746,21.27649689,299.6238152,184.5731991,27.20257392,4.075721581,0.393094142,102.2183981,0.391447773,0,-17.45385516,213.6654474,6.977126603,4.027726268,5.266347777,0,0,372-AUS,1,43.52753125,Yes,1,N,X,0,32.2792174,-64.8442439,4
447,NZL,0.811474025,0.826135874,0.796592891,-143.5438703,32.98904572,2,313.3477416,1,5,330.9573353,6.267393962,68.87200076,67.32669095,-0.901975785,-0.876301371,30.70992045,240.1648874,28.90952015,28.15232026,0,-0.271935444,6.999882659,-10.50329671,1.667938812,3.879748512,30.43953717,-3.879748512,29.876552,0,81.30009686,1.492553535,29.14546562,1.47805411,2.557599126,0,-2.557269142,-0.191900915,28.31281775,-1.511274977,29.83351156,247.7016187,36.34334095,50.80157759,3.738603934,-0.778991986,223.6411982,0.902329781,0,-26.93131125,36.38728639,7.026193828,3.607813068,6.443203031,0,0,447-NZL,1,42.23647038,Yes,1,N,X,0,32.2875202,-64.84505,4
390,DEN,0.870200515,0.792440176,0.952387631,-33.6019933,31.43258858,2,221.5463109,1,5,69.17100595,6.422403398,68.87200076,69.25581641,-3.889061475,-4.235545873,20.25182849,128.6299474,12.13743399,7.517316446,0,-1.093938359,6.999882659,-10.15931643,2.583869528,7.355615986,20.03972551,-7.355615986,15.86081087,0,89.86957321,2.749642915,11.6545362,2.64114536,12.7345129,0,-12.74472403,-1.071673756,6.706543963,-1.097303721,16.02649589,53.52622885,46.18724522,89.78167551,6.328027686,-4.62011754,291.4059228,1.482481674,0,-13.84902646,212.830484,6.982553615,6.261677521,5.695575647,0,0,390-DEN,1,28.7234209,Yes,1,N,X,0,32.2795297,-64.840365,3
464,USA,0.165889025,-0.010951696,0.048464049,32.90953506,41.43289719,2,148.7235033,5,1,17.92996716,-10.73632484,68.87200076,62.05207736,0.194868632,0.22451216,-20.25158773,126.8940684,-19.83220558,-19.94767163,0,6.374916934,7.707872747,6.264886002,2.680438584,7.388956701,-20.03951035,7.388956701,-20.03951035,0,9.777985264,2.970802092,-20.03951035,2.999949711,0.303915644,0,0.314074029,6.34926744,-20.03951035,-5.830902185,-20.01688194,357.5226731,350.7330279,18.41337379,-1.053732343,-0.105306769,197.603192,3.806601028,0,22.75428857,100.021099,7.698231081,-1.014039873,8.532216816,0,0,464-USA,1,7.314722878,No,0,N,X,0,32.2887564,-64.8428537,3
